"ascension_code","facility","aggregation_level","aggregation_code","aggregation_name","pct_corrected","pct_raw","delta_pts","n_corrected","n_raw"
"26016",Sacred Heart Emerald Coast,composite,TW,Teamwork,88.6,65.2,23.4,410,410
"26042",Sacred Heart Bay,question,A01,"In this unit, we work together as an effective team.",86.8,86.8,0.0,394,394
"26042",Sacred Heart Bay,question,A02,"In this unit, we have enough staff to handle the workload.",27.3,27.3,0.0,392,392
"26042",Sacred Heart Bay,question,A03,Staff in this unit work longer hours than is best for patient care.,31.3,32.9,-1.6,380,380
"26042",Sacred Heart Bay,question,A04,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,58.6,58.6,0.0,384,384
"26042",Sacred Heart Bay,question,A05,"This unit relies too much on temporary, float, or PRN staff.",53.1,24.8,28.3,367,367
"26042",Sacred Heart Bay,question,A06,"In this unit, staff feel like their mistakes are held against them.",53.2,18.8,34.4,378,378
"26042",Sacred Heart Bay,question,A07,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",48.2,21.0,27.2,371,371
"26042",Sacred Heart Bay,question,A08,"During busy times, staff in this unit help each other.",86.0,86.0,0.0,386,386
"26042",Sacred Heart Bay,question,A09,There is a problem with disrespectful behavior by those working in this unit.,58.3,20.5,37.8,386,386
"26042",Sacred Heart Bay,question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",62.1,62.1,0.0,380,380
"26042",Sacred Heart Bay,question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,36.8,37.0,-0.3,378,378
"26042",Sacred Heart Bay,question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",52.7,52.7,0.0,368,368
"26042",Sacred Heart Bay,question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",44.0,21.2,22.8,359,359
"26042",Sacred Heart Bay,question,A14,This unit lets the same patient safety problems keep happening.,50.8,23.9,26.9,376,376
"26042",Sacred Heart Bay,question,B01,"My supervisor, manager, or clinical leader seriously considers staff suggestions for improving patient safety.",71.3,71.3,0.0,380,380
"26042",Sacred Heart Bay,question,B02,"My supervisor, manager, or clinical leader wants us to work faster during busy times, even if it means taking shortcuts.",67.3,13.2,54.1,379,379
"26042",Sacred Heart Bay,question,B03,"My supervisor, manager, or clinical leader takes action to address patient safety concerns that are brought to their attention.",75.5,75.5,0.0,379,379
"26042",Sacred Heart Bay,question,C01,We are informed about errors that happen in this unit.,65.9,65.9,0.0,367,367
"26042",Sacred Heart Bay,question,C02,"When errors happen in this unit, we discuss ways to prevent them from happening again.",66.4,66.4,0.0,366,366
"26042",Sacred Heart Bay,question,C03,"In this unit, we are informed about changes that are made based on event reports.",58.6,58.6,0.0,365,365
"26042",Sacred Heart Bay,question,C04,"In this unit, staff speak up if they see something that may negatively affect patient care.",78.8,78.8,0.0,372,372
"26042",Sacred Heart Bay,question,C05,"When staff in this unit see someone with more authority doing something unsafe for patients, they speak up.",67.4,67.4,0.0,316,316
"26042",Sacred Heart Bay,question,C06,"When staff in this unit speak up, those with more authority are open to their patient safety concerns.",66.5,66.5,0.0,343,343
"26042",Sacred Heart Bay,question,C07,"In this unit, staff are afraid to ask questions when something does not seem right.",66.6,9.7,56.9,362,362
"26042",Sacred Heart Bay,question,D01,"When a mistake is caught and corrected before reaching the patient, how often is this reported?",70.1,70.1,0.0,288,288
"26042",Sacred Heart Bay,question,D02,"When a mistake reaches the patient and could have harmed the patient, but did not, how often is this reported?",82.9,82.9,0.0,298,298
"26042",Sacred Heart Bay,question,F01,The actions of hospital management show that patient safety is a top priority.,49.2,49.2,0.0,374,374
"26042",Sacred Heart Bay,question,F02,Hospital management provides adequate resources to improve patient safety.,40.8,40.8,0.0,377,377
"26042",Sacred Heart Bay,question,F03,Hospital management seems interested in patient safety only after an adverse event happens.,29.2,45.2,-16.1,367,367
"26042",Sacred Heart Bay,question,F04,"When transferring patients from one unit to another, important information is often left out.",38.7,34.7,3.9,331,331
"26042",Sacred Heart Bay,question,F05,"During shift changes, important patient care information is often left out.",47.2,25.2,22.0,322,322
"26042",Sacred Heart Bay,question,F06,"During shift changes, there is adequate time to exchange all key patient care information.",56.1,56.1,0.0,326,326
"26042",Sacred Heart Bay,composite,CO,Communication Openness,69.8,55.6,14.2,372,372
"26042",Sacred Heart Bay,composite,FCE,Communication About Error,63.7,63.7,0.0,367,367
"26042",Sacred Heart Bay,composite,HT,Handoffs and Information Exchange,47.3,38.7,8.7,331,331
"26042",Sacred Heart Bay,composite,MSPS,Hospital Management Support for Patient Safety,39.7,45.1,-5.4,377,377
"26042",Sacred Heart Bay,composite,NPRE,Response to Error,51.9,30.8,21.1,380,380
"26042",Sacred Heart Bay,composite,OL,Organizational Learning - Continuous Improvement,54.0,45.1,9.0,384,384
"26042",Sacred Heart Bay,composite,RPSE,Reporting Patient Safety Events,76.5,76.5,0.0,298,298
"26042",Sacred Heart Bay,composite,S/ME,"Supervisor, Manager, or Clinical Leader Support for Patient Safety",71.4,53.3,18.0,380,380
"26042",Sacred Heart Bay,composite,Staffing,Staffing and Work Pace,37.1,30.5,6.6,392,392
"26042",Sacred Heart Bay,composite,TW,Teamwork,77.0,64.4,12.6,394,394
"52005",St Vincent's Southside (St Luke),question,A01,"In this unit, we work together as an effective team.",88.3,88.3,0.0,437,437
"52005",St Vincent's Southside (St Luke),question,A02,"In this unit, we have enough staff to handle the workload.",58.8,58.8,0.0,434,434
"52005",St Vincent's Southside (St Luke),question,A03,Staff in this unit work longer hours than is best for patient care.,54.3,19.8,34.5,420,420
"52005",St Vincent's Southside (St Luke),question,A04,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,68.9,68.9,0.0,428,428
"52005",St Vincent's Southside (St Luke),question,A05,"This unit relies too much on temporary, float, or PRN staff.",49.2,27.3,21.8,417,417
"52005",St Vincent's Southside (St Luke),question,A06,"In this unit, staff feel like their mistakes are held against them.",56.8,14.0,42.8,421,421
"52005",St Vincent's Southside (St Luke),question,A07,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",55.7,14.5,41.2,413,413
"52005",St Vincent's Southside (St Luke),question,A08,"During busy times, staff in this unit help each other.",89.6,89.6,0.0,432,432
"52005",St Vincent's Southside (St Luke),question,A09,There is a problem with disrespectful behavior by those working in this unit.,63.8,19.0,44.8,431,431
"52005",St Vincent's Southside (St Luke),question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",66.2,66.2,0.0,429,429
"52005",St Vincent's Southside (St Luke),question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,59.2,19.5,39.7,431,431
"52005",St Vincent's Southside (St Luke),question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",62.7,62.7,0.0,421,421
"52005",St Vincent's Southside (St Luke),question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",60.3,13.3,47.0,421,421
"52005",St Vincent's Southside (St Luke),question,A14,This unit lets the same patient safety problems keep happening.,60.2,16.4,43.8,420,420
"52005",St Vincent's Southside (St Luke),question,B01,"My supervisor, manager, or clinical leader seriously considers staff suggestions for improving patient safety.",76.1,76.1,0.0,431,431
"52005",St Vincent's Southside (St Luke),question,B02,"My supervisor, manager, or clinical leader wants us to work faster during busy times, even if it means taking shortcuts.",75.7,8.9,66.8,428,428
"52005",St Vincent's Southside (St Luke),question,B03,"My supervisor, manager, or clinical leader takes action to address patient safety concerns that are brought to their attention.",79.4,79.4,0.0,427,427
"52005",St Vincent's Southside (St Luke),question,C01,We are informed about errors that happen in this unit.,69.1,69.1,0.0,411,411
"52005",St Vincent's Southside (St Luke),question,C02,"When errors happen in this unit, we discuss ways to prevent them from happening again.",70.8,70.8,0.0,415,415
"52005",St Vincent's Southside (St Luke),question,C03,"In this unit, we are informed about changes that are made based on event reports.",66.4,66.4,0.0,408,408
"52005",St Vincent's Southside (St Luke),question,C04,"In this unit, staff speak up if they see something that may negatively affect patient care.",80.8,80.8,0.0,412,412
"52005",St Vincent's Southside (St Luke),question,C05,"When staff in this unit see someone with more authority doing something unsafe for patients, they speak up.",76.1,76.1,0.0,347,347
"52005",St Vincent's Southside (St Luke),question,C06,"When staff in this unit speak up, those with more authority are open to their patient safety concerns.",71.7,71.7,0.0,378,378
"52005",St Vincent's Southside (St Luke),question,C07,"In this unit, staff are afraid to ask questions when something does not seem right.",70.7,9.8,60.9,399,399
"52005",St Vincent's Southside (St Luke),question,D01,"When a mistake is caught and corrected before reaching the patient, how often is this reported?",71.4,71.4,0.0,329,329
"52005",St Vincent's Southside (St Luke),question,D02,"When a mistake reaches the patient and could have harmed the patient, but did not, how often is this reported?",82.0,82.0,0.0,333,333
"52005",St Vincent's Southside (St Luke),question,F01,The actions of hospital management show that patient safety is a top priority.,66.3,66.3,0.0,416,416
"52005",St Vincent's Southside (St Luke),question,F02,Hospital management provides adequate resources to improve patient safety.,58.4,58.4,0.0,416,416
"52005",St Vincent's Southside (St Luke),question,F03,Hospital management seems interested in patient safety only after an adverse event happens.,33.8,43.8,-10.0,411,411
"52005",St Vincent's Southside (St Luke),question,F04,"When transferring patients from one unit to another, important information is often left out.",55.1,18.6,36.6,350,350
"52005",St Vincent's Southside (St Luke),question,F05,"During shift changes, important patient care information is often left out.",63.8,13.5,50.3,348,348
"52005",St Vincent's Southside (St Luke),question,F06,"During shift changes, there is adequate time to exchange all key patient care information.",73.2,73.2,0.0,343,343
"52005",St Vincent's Southside (St Luke),composite,CO,Communication Openness,74.8,59.6,15.2,412,412
"52005",St Vincent's Southside (St Luke),composite,FCE,Communication About Error,68.8,68.8,0.0,415,415
"52005",St Vincent's Southside (St Luke),composite,HT,Handoffs and Information Exchange,64.0,35.1,29.0,350,350
"52005",St Vincent's Southside (St Luke),composite,MSPS,Hospital Management Support for Patient Safety,52.9,56.2,-3.3,416,416
"52005",St Vincent's Southside (St Luke),composite,NPRE,Response to Error,59.7,27.0,32.7,429,429
"52005",St Vincent's Southside (St Luke),composite,OL,Organizational Learning - Continuous Improvement,64.0,49.4,14.6,428,428
"52005",St Vincent's Southside (St Luke),composite,RPSE,Reporting Patient Safety Events,76.7,76.7,0.0,333,333
"52005",St Vincent's Southside (St Luke),composite,S/ME,"Supervisor, Manager, or Clinical Leader Support for Patient Safety",77.1,54.8,22.3,431,431
"52005",St Vincent's Southside (St Luke),composite,Staffing,Staffing and Work Pace,55.3,31.3,24.0,434,434
"52005",St Vincent's Southside (St Luke),composite,TW,Teamwork,80.6,65.6,14.9,437,437
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A01,"In this unit, we work together as an effective team.",86.7,86.7,0.0,600,600
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A02,"In this unit, we have enough staff to handle the workload.",48.9,48.9,0.0,595,595
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A03,Staff in this unit work longer hours than is best for patient care.,43.6,27.1,16.5,576,576
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A04,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,69.3,69.3,0.0,587,587
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A05,"This unit relies too much on temporary, float, or PRN staff.",56.2,25.4,30.8,568,568
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A06,"In this unit, staff feel like their mistakes are held against them.",54.0,19.3,34.8,581,581
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A07,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",52.4,18.9,33.6,578,578
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A08,"During busy times, staff in this unit help each other.",84.8,84.8,0.0,591,591
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A09,There is a problem with disrespectful behavior by those working in this unit.,65.0,18.0,46.9,588,588
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",65.0,65.0,0.0,585,585
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,50.9,28.2,22.7,585,585
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",65.3,65.3,0.0,565,565
"52009",St Vincent's Riverside (St Vincent Medical Center),question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",58.7,12.7,45.9,566,566
